environment,policy,num_arms,num_steps,total_reward
iid,random,5,10,2.4870747179237203
iid,random,5,10,6.011044316493223
iid,random,5,10,5.978661401222726
iid,random,5,10,5.198618772789529
iid,random,5,10,6.9133716428836784
iid,random,5,10,1.7274377922242528
iid,random,5,10,3.5879890045873024
iid,random,5,10,4.859145637171598
iid,random,5,10,5.4609211213550966
iid,random,5,10,5.7854737696407135
iid,random,5,10,5.55129050741731
iid,random,5,10,6.312840155762483
iid,random,5,10,3.6920961384441733
iid,random,5,10,5.5132186350473855
iid,random,5,10,5.594786709082886
iid,random,5,10,6.446727410789329
iid,random,5,10,3.5077442080026673
iid,random,5,10,2.3372700907215886
iid,random,5,10,4.308020848657758
iid,random,5,20,12.770944347217887
iid,random,5,20,10.13116190802667
iid,random,5,20,10.875253056551179
iid,random,5,20,8.440989554582137
iid,random,5,20,8.611775905579062
iid,random,5,20,10.075070243408804
iid,random,5,20,10.837935296599946
iid,random,5,20,10.736742834942948
iid,random,5,20,8.58372403553353
iid,random,5,20,7.36499030464385
iid,random,5,20,8.14760621465371
iid,random,5,20,10.069737959477937
iid,random,5,20,9.987691012262848
iid,random,5,20,10.228499099528928
iid,random,5,20,6.795105276994924
iid,random,5,20,7.650069682646158
iid,random,5,20,11.98320998513865
iid,random,5,20,8.286446893017025
iid,random,5,20,8.612652017215057
iid,random,5,20,6.796175062213167
iid,random,5,20,7.034723485124564
iid,random,5,20,11.05293994664854
iid,random,5,20,9.257782012160721
iid,random,5,20,13.082584620390305
iid,random,5,20,10.799684008695689
iid,random,5,20,10.699436058937442
iid,random,5,20,7.981636726196889
iid,random,5,20,8.69565192131717
iid,random,5,20,16.35904041136091
iid,random,5,20,13.487242152363521
iid,random,5,20,5.461308673276048
iid,random,5,20,9.99324611864751
iid,random,5,20,9.140242350728107
iid,random,5,20,4.524799757308438
iid,random,5,20,6.291956691861966
iid,random,5,20,12.132459934546505
iid,random,5,20,13.230722039831633
iid,random,5,20,13.30074989510417
iid,random,5,20,9.350805214103184
iid,random,5,20,11.74605866252002
iid,random,5,20,12.609142452777025
iid,random,5,20,7.4535887426085825
iid,random,5,20,10.454008382671256
iid,random,5,20,7.610254572926768
iid,random,5,20,6.405014395561315
iid,random,5,20,6.856659158501851
iid,random,5,20,5.628655295266231
iid,random,5,20,8.411855624233997
iid,random,5,20,10.462495455197649
iid,random,5,20,12.278952813402437
iid,random,5,20,12.000927439384856
iid,random,5,20,7.15157007992463
iid,random,5,20,7.62465276153338
iid,random,5,20,8.817709458270548
iid,random,5,20,7.770217304966253
iid,random,5,20,11.781531616193307
iid,random,5,20,8.695502924619912
iid,random,5,20,12.389025191986413
iid,random,5,20,5.203902181040746
iid,random,5,20,8.733002801019362
iid,random,5,20,7.411600886629873
iid,random,5,20,11.429399152790158
iid,random,5,20,9.213984830863723
iid,random,5,20,10.228036734465086
iid,random,5,20,10.340389108158224
iid,random,5,20,4.499008779298619
iid,random,5,20,3.467880876220061
iid,random,5,20,11.763585900367135
iid,random,5,20,8.60794751093812
iid,random,5,20,5.528973119594769
iid,random,5,20,10.748440407655675
iid,random,5,20,8.109166752132166
iid,random,5,20,5.301243023893049
iid,random,5,20,11.112643977721719
iid,random,5,20,6.108199908326874
iid,random,5,20,11.384121983235975
iid,random,5,20,11.278463845086364
iid,random,5,20,9.897214900547347
iid,random,5,20,13.135589861541334
iid,random,5,20,12.027275888968045
iid,random,5,20,8.222408325253689
iid,random,5,20,6.748017042520616
iid,random,5,20,14.2186156240933
iid,random,5,20,10.851923094319975
iid,random,5,20,11.78456385486614
iid,random,5,20,11.724203754953583
iid,random,5,20,5.897370531410466
iid,random,5,20,7.654423437317928
iid,random,5,20,2.6749715057554924
iid,random,5,20,8.250359501268543
iid,random,5,20,11.423956371968895
iid,random,5,20,12.609986409466858
iid,random,5,20,11.364238575861146
iid,random,5,20,5.5248186713005625
iid,random,5,20,10.668392717029235
iid,random,5,20,5.954960077138033
iid,random,5,20,13.46935579518508
iid,random,5,20,9.055341598497344
iid,random,5,20,6.0700048527145665
iid,random,5,20,11.523147820321563
iid,random,5,30,19.054652348404684
iid,random,5,30,21.603558792909734
iid,random,5,30,14.179784590178853
iid,random,5,30,13.457260362836559
iid,random,5,30,9.829829353766984
iid,random,5,30,10.180236664763349
iid,random,5,30,16.057934107345403
iid,random,5,30,14.287755882624175
iid,random,5,30,14.505316255577897
iid,random,5,30,16.469965257557497
iid,random,5,30,11.670031596384778
iid,random,5,30,15.316536151960253
iid,random,5,30,15.514523363971767
iid,random,5,30,21.02906781438029
iid,random,5,30,13.231737983863665
iid,random,5,30,9.563929832193665
iid,random,5,30,21.208331617348946
iid,random,5,30,13.979749988442775
iid,random,5,30,15.340373766861783
iid,random,5,30,12.378514023328448
iid,random,5,30,11.24974746793894
iid,random,5,30,17.139383986264473
iid,random,5,30,17.436119330050555
iid,random,5,30,18.1446214178928
iid,random,5,30,13.584188735157976
iid,random,5,30,12.827734324631578
iid,random,5,30,14.094598472889157
iid,random,5,30,10.896656097289048
iid,random,5,30,15.660604381885808
iid,random,5,30,18.86897067126177
iid,random,5,30,10.413298954272843
iid,random,5,30,14.285501180621184
iid,random,5,30,13.26637474547704
iid,random,5,30,12.303503694298879
iid,random,5,30,16.80151479814226
iid,random,5,30,16.8237549656365
iid,random,5,30,13.114105921588116
iid,random,5,30,12.234381020924328
iid,random,5,30,14.716793056803686
